paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1,2969;1,2973;1,62877;1,63698;2006-03-06 09:19:00.0;Abertura
1,2974;1,2977;1,63443;1,63712;2006-03-06 09:30:00.0;Intermediário
1,2979;1,2984;1,6343200000000002;1,63649;2006-03-06 10:00:00.0;Intermediário
1,2986;1,2991000000000001;1,63267;1,63484;2006-03-06 10:30:00.0;Intermediário
1,298;1,2982;1,6330300000000002;1,63405;2006-03-06 11:00:00.0;Intermediário
1,2981;1,2984;1,6297000000000001;1,63162;2006-03-06 11:30:00.0;Intermediário
1,2964;1,2966;1,63273;1,63376;2006-03-06 12:00:00.0;Intermediário
1,2982;1,2986;1,6309900000000002;1,63226;2006-03-06 12:30:00.0;Intermediário
1,2993999999999999;1,2998;1,6302500000000002;1,63152;2006-03-06 13:00:00.0;Intermediário
1,2993000000000001;1,2996;1,6305;1,63165;2006-03-06 13:30:00.0;Intermediário
1,3001;1,3004;1,6295000000000002;1,63064;2006-03-06 14:00:00.0;Intermediário
1,2997;1,3002;1,62975;1,63115;2006-03-06 14:30:00.0;Intermediário
1,3002;1,3004;1,6341100000000002;1,6359;2006-03-06 15:00:00.0;Intermediário
1,2991000000000001;1,3009;1,63733;1,64114;2006-03-06 15:30:00.0;Intermediário
1,2988;1,2993000000000001;1,6455000000000002;1,6476700000000002;2006-03-06 16:00:00.0;Intermediário
1,2986;1,2988;1,6469;1,6487;2006-03-06 16:30:00.0;Fechamento Interbancário
1,2986;1,2988;1,63636;1,6372200000000001;2006-03-06 17:37:00.0;Fechamento PTAX
