paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
0,9238000000000001;0,9243;5,7725;5,7763;2023-01-02 10:11:18.511;Abertura
0,924;0,9244;5,7916;5,7948;2023-01-02 11:05:17.032;Intermediário
0,9252;0,9256000000000001;5,7764;5,7795000000000005;2023-01-02 12:10:16.594;Intermediário
0,9255;0,9259000000000001;5,7631;5,7663;2023-01-02 13:05:57.582;Intermediário
0,9255;0,9259000000000001;5,7706;5,7737;2023-01-02 13:05:57.593;Fechamento
0,9374;0,9378000000000001;5,7065;5,7096;2023-01-03 10:03:17.048;Abertura
0,9357000000000001;0,9358000000000001;5,7412;5,7424;2023-01-03 11:11:16.694;Intermediário
0,9327000000000001;0,9331;5,7607;5,7638;2023-01-03 12:07:16.28;Intermediário
0,9380000000000001;0,9384;5,7564;5,7595;2023-01-03 13:11:19.075;Intermediário
0,9380000000000001;0,9384;5,7282;5,7312;2023-01-03 13:11:19.08;Fechamento
0,9278000000000001;0,9282;5,8636;5,8668;2023-01-04 10:11:16.796;Abertura
0,9272;0,9276000000000001;5,8611;5,8643;2023-01-04 11:11:16.379;Intermediário
0,9282;0,9286000000000001;5,8787;5,8819;2023-01-04 12:03:31.114;Intermediário
0,9291;0,9295;5,8554;5,8586;2023-01-04 13:09:19.565;Intermediário
0,9291;0,9295;5,8583;5,8615;2023-01-04 13:09:19.572;Fechamento
0,9281;0,9285;5,7992;5,8024000000000004;2023-01-05 10:05:16.316;Abertura
0,9335;0,9339000000000001;5,7984;5,8015;2023-01-05 11:05:16.697;Intermediário
0,9357000000000001;0,9361;5,7783;5,7814;2023-01-05 12:05:18.389;Intermediário
0,9373;0,9377000000000001;5,758;5,7611;2023-01-05 13:03:32.257;Intermediário
0,9373;0,9377000000000001;5,7609;5,764;2023-01-05 13:03:32.262;Fechamento
0,9394;0,9398000000000001;5,6772;5,6802;2023-01-06 10:09:17.141;Abertura
0,9349000000000001;0,9353;5,6441;5,6471;2023-01-06 11:11:16.58;Intermediário
0,9392;0,9396;5,6146;5,6177;2023-01-06 12:05:17.045;Intermediário
0,9309000000000001;0,9313;5,6369;5,6399;2023-01-06 13:02:28.721;Intermediário
