paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1,2031;1,2035;2,54215;2,55503;2006-03-06 09:19:00.0;Abertura
1,2026;1,2028;2,55071;2,5547500000000003;2006-03-06 09:30:00.0;Intermediário
1,2021;1,2023;2,55086;2,55369;2006-03-06 10:00:00.0;Intermediário
1,2019;1,2018;2,54923;2,5514200000000002;2006-03-06 10:30:00.0;Intermediário
1,202;1,2021;2,54824;2,54965;2006-03-06 11:00:00.0;Intermediário
1,2016;1,2021;2,54259;2,54605;2006-03-06 11:30:00.0;Intermediário
1,20315;1,2035;2,54707;2,54901;2006-03-06 12:00:00.0;Intermediário
1,2017;1,2025000000000001;2,5452;2,5481;2006-03-06 12:30:00.0;Intermediário
1,2008;1,201;2,5445;2,54612;2006-03-06 13:00:00.0;Intermediário
1,2001;1,2006000000000001;2,5430099999999998;2,54527;2006-03-06 13:30:00.0;Intermediário
1,1997;1,2;2,54216;2,544;2006-03-06 14:00:00.0;Intermediário
1,2001;1,2008;2,5430099999999998;2,5457;2006-03-06 14:30:00.0;Intermediário
1,1998;1,2;2,54958;2,5524;2006-03-06 15:00:00.0;Intermediário
1,1991;1,2012;2,55408;2,56096;2006-03-06 15:30:00.0;Intermediário
1,2012;1,2013;2,5681700000000003;2,57078;2006-03-06 16:00:00.0;Intermediário
1,2013;1,2017;2,56958;2,5728400000000002;2006-03-06 16:30:00.0;Fechamento Interbancário
1,2013;1,2017;2,55312;2,55493;2006-03-06 17:37:00.0;Fechamento PTAX
