paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1,0682;1,0683;5,6994;5,7006;2023-01-02 10:11:18.511;Abertura
1,0677;1,0681;5,7163;5,719;2023-01-02 11:05:17.032;Intermediário
1,0671;1,0675;5,7054;5,7081;2023-01-02 12:10:16.594;Intermediário
1,0659;1,0663;5,6876999999999995;5,6905;2023-01-02 13:05:57.582;Intermediário
1,0659;1,0663;5,6951;5,6979;2023-01-02 13:05:57.593;Fechamento
1,0533;1,0536;5,6368;5,6391;2023-01-03 10:03:17.048;Abertura
1,0557;1,056;5,6719;5,6741;2023-01-03 11:11:16.694;Intermediário
1,0574;1,0575;5,6838;5,6850000000000005;2023-01-03 12:07:16.28;Intermediário
1,0553;1,0555;5,7005;5,7022;2023-01-03 13:11:19.075;Intermediário
1,0553;1,0555;5,6726;5,6743;2023-01-03 13:11:19.08;Fechamento
1,0606;1,061;5,7724;5,7752;2023-01-04 10:11:16.796;Abertura
1,061;1,0614;5,7684;5,7713;2023-01-04 11:11:16.379;Intermediário
1,0624;1,0626;5,7996;5,8014;2023-01-04 12:03:31.114;Intermediário
1,0603;1,0604;5,7708;5,772;2023-01-04 13:09:19.565;Intermediário
1,0603;1,0604;5,7737;5,7748;2023-01-04 13:09:19.572;Fechamento
1,0599;1,0601;5,7071000000000005;5,7089;2023-01-05 10:05:16.316;Abertura
1,055;1,0554000000000001;5,7129;5,7157;2023-01-05 11:05:16.697;Intermediário
1,0537;1,0541;5,6996;5,7024;2023-01-05 12:05:18.389;Intermediário
1,0517;1,0521;5,6784;5,6812000000000005;2023-01-05 13:03:32.257;Intermediário
1,0517;1,0521;5,6813;5,6841;2023-01-05 13:03:32.262;Fechamento
1,0493999999999999;1,0495;5,599;5,6001;2023-01-06 10:09:17.141;Abertura
1,054;1,0544;5,564;5,5667;2023-01-06 11:11:16.58;Intermediário
1,0508;1,051;5,5435;5,5452;2023-01-06 12:05:17.045;Intermediário
1,0602;1,0604;5,5656;5,5673;2023-01-06 13:02:28.721;Intermediário
1,0602;1,0604;5,6031;5,6047;2023-01-06 13:02:28.727;Fechamento
1,0687;1,069;5,6431000000000004;5,6453;2023-01-09 10:03:17.851;Abertura
1,0723;1,0727;5,6881;5,6909;2023-01-09 11:05:18.197;Intermediário
1,0729;1,073;5,6944;5,6956;2023-01-09 12:11:16.876;Intermediário
1,0741;1,0742;5,6839;5,6851;2023-01-09 13:07:16.717;Intermediário
1,0741;1,0742;5,6885;5,6897;2023-01-09 13:07:16.725;Fechamento
1,0718;1,0721;5,6468;5,649;2023-01-10 10:09:16.469;Abertura
1,072;1,0724;5,6061;5,6089;2023-01-10 11:08:16.455;Intermediário
1,0739;1,0743;5,6165;5,6192;2023-01-10 12:08:17.84;Intermediário
1,0727;1,0728;5,6074;5,6086;2023-01-10 13:05:25.672;Intermediário
1,0727;1,0728;5,6198;5,6209;2023-01-10 13:05:25.681;Fechamento
1,074;1,0741;5,5917;5,5928;2023-01-11 10:10:16.612;Abertura
1,0748;1,0752;5,5906;5,5933;2023-01-11 11:04:04.728;Intermediário
1,077;1,0771;5,5939;5,5951;2023-01-11 12:07:18.037;Intermediário
1,0753;1,0757;5,5953;5,5981000000000005;2023-01-11 13:07:22.488;Intermediário
1,0753;1,0757;5,5931;5,5958;2023-01-11 13:07:22.492;Fechamento
1,0763;1,0765;5,5427;5,5443999999999996;2023-01-12 10:08:17.046;Abertura
1,0827;1,0832;5,5437;5,547;2023-01-12 11:03:15.992;Intermediário
1,0765;1,0769;5,5531;5,5558;2023-01-12 12:07:16.925;Intermediário
1,0806;1,0808;5,5425;5,5442;2023-01-12 13:09:27.27;Intermediário
1,0806;1,0808;5,5536;5,5553;2023-01-12 13:09:27.278;Fechamento
1,081;1,0813;5,5595;5,5617;2023-01-13 10:07:17.082;Abertura
1,0792;1,0796000000000001;5,5224;5,5251;2023-01-13 11:03:17.146;Intermediário
1,0816;1,082;5,5161;5,5187;2023-01-13 12:04:17.618;Intermediário
1,0826;1,0832;5,5168;5,5205;2023-01-13 13:10:23.133;Intermediário
1,0826;1,0832;5,5364;5,5401;2023-01-13 13:10:23.139;Fechamento
1,0813;1,0817;5,5159;5,5186;2023-01-16 10:06:18.73;Abertura
1,0815;1,0816;5,5257000000000005;5,5269;2023-01-16 11:11:17.162;Intermediário
1,082;1,0824;5,5415;5,5442;2023-01-16 12:09:16.393;Intermediário
1,0825;1,0827;5,5332;5,5349;2023-01-16 13:07:23.214;Intermediário
1,0825;1,0827;5,5325;5,5342;2023-01-16 13:07:23.23;Fechamento
1,0851;1,0855;5,5654;5,5681;2023-01-17 10:03:18.446;Abertura
1,0842;1,0846;5,5519;5,5546;2023-01-17 11:03:17.027;Intermediário
1,0862;1,0865;5,5659;5,5681;2023-01-17 12:03:16.899;Intermediário
1,0799;1,0803;5,513;5,5157;2023-01-17 13:09:23.084;Intermediário
1,0799;1,0803;5,5288;5,5315;2023-01-17 13:09:23.089;Fechamento
1,0823;1,0827;5,514;5,5167;2023-01-18 10:08:17.282;Abertura
1,0857;1,086;5,5126;5,5148;2023-01-18 11:11:36.791;Intermediário
1,0865;1,0869;5,5278;5,5305;2023-01-18 12:11:17.938;Intermediário
1,0832;1,0835;5,5258;5,5280000000000005;2023-01-18 13:11:36.517;Intermediário
1,0832;1,0835;5,5138;5,516;2023-01-18 13:11:36.521;Fechamento
1,0808;1,0811;5,6386;5,6409;2023-01-19 10:11:21.949;Abertura
1,0807;1,0808;5,6228;5,6239;2023-01-19 11:08:16.423;Intermediário
1,0809;1,0813;5,6362;5,639;2023-01-19 12:05:16.758;Intermediário
1,0789;1,0791;5,6325;5,6342;2023-01-19 13:07:18.674;Intermediário
1,0789;1,0791;5,6251999999999995;5,6269;2023-01-19 13:07:18.678;Fechamento
1,0816;1,082;5,6037;5,6064;2023-01-20 10:02:17.564;Abertura
1,0806;1,0807;5,6394;5,6406;2023-01-20 11:11:16.888;Intermediário
1,0819;1,0823;5,6229;5,6256;2023-01-20 12:10:18.004;Intermediário
1,083;1,0834;5,6262;5,6289;2023-01-20 13:08:32.648;Intermediário
1,083;1,0834;5,6294;5,6322;2023-01-20 13:08:32.655;Fechamento
1,0871;1,0874;5,6544;5,6567;2023-01-23 10:03:20.353;Abertura
1,0857;1,0861;5,6499;5,6526;2023-01-23 11:07:17.842;Intermediário
1,086;1,0862;5,6397;5,6414;2023-01-23 12:08:17.196;Intermediário
1,0862;1,0866;5,6135;5,6162;2023-01-23 13:10:05.271;Intermediário
1,0862;1,0866;5,6391;5,6418;2023-01-23 13:10:05.284;Fechamento
1,0858;1,0862;5,625;5,6277;2023-01-24 10:09:17.4;Abertura
1,0864;1,0868;5,6223;5,6251;2023-01-24 11:08:17.672;Intermediário
1,0841;1,0842;5,6006;5,6017;2023-01-24 12:06:16.812;Intermediário
1,0874;1,0878;5,6048;5,6075;2023-01-24 13:07:36.427;Intermediário
1,0874;1,0878;5,6208;5,6235;2023-01-24 13:07:36.435;Fechamento
1,0872;1,0876;5,5606;5,5633;2023-01-25 10:10:16.908;Abertura
1,0871;1,0875;5,5651;5,5678;2023-01-25 11:08:16.633;Intermediário
1,0896;1,0897000000000001;5,5636;5,5648;2023-01-25 12:03:17.489;Intermediário
