paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1,7548;1,7551;3,70789;3,72608;2006-03-06 09:19:00.0;Abertura
1,7538;1,7544;3,71981;3,72635;2006-03-06 09:30:00.0;Intermediário
1,7546;1,7549000000000001;3,72326;3,72741;2006-03-06 10:00:00.0;Intermediário
1,7534;1,7539;3,71896;3,7235300000000002;2006-03-06 10:30:00.0;Intermediário
1,7532;1,7536;3,71678;3,71939;2006-03-06 11:00:00.0;Intermediário
1,7537;1,754;3,71083;3,71497;2006-03-06 11:30:00.0;Intermediário
1,7528000000000001;1,7534;3,71068;3,7137000000000002;2006-03-06 12:00:00.0;Intermediário
1,7516;1,7517;3,70989;3,71185;2006-03-06 12:30:00.0;Intermediário
1,7509000000000001;1,7509000000000001;3,71016;3,71191;2006-03-06 13:00:00.0;Intermediário
1,7497;1,7501;3,70761;3,71021;2006-03-06 13:30:00.0;Intermediário
1,7487;1,7495;3,7055;3,70894;2006-03-06 14:00:00.0;Intermediário
1,7486000000000002;1,749;3,70528;3,7078800000000003;2006-03-06 14:30:00.0;Intermediário
1,7475;1,7478;3,7134400000000003;3,7175700000000003;2006-03-06 15:00:00.0;Intermediário
1,7493;1,7497;3,72601;3,73036;2006-03-06 15:30:00.0;Intermediário
1,7496;1,7499;3,74064;3,74479;2006-03-06 16:00:00.0;Intermediário
1,7497;1,7502;3,74261;3,74718;2006-03-06 16:30:00.0;Fechamento Interbancário
1,7497;1,7502;3,71864;3,7211;2006-03-06 17:37:00.0;Fechamento PTAX
