paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1,2049;1,2053;6,4287;6,4316;2023-01-02 10:11:18.511;Abertura
1,2052;1,2053;6,4524;6,4537;2023-01-02 11:05:17.032;Intermediário
1,2047;1,2052;6,441;6,4444;2023-01-02 12:10:16.594;Intermediário
1,2042;1,2046000000000001;6,4257;6,4286;2023-01-02 13:05:57.582;Intermediário
1,2042;1,2046000000000001;6,434;6,4369;2023-01-02 13:05:57.593;Fechamento
1,1954;1,1955;6,3973;6,3986;2023-01-03 10:03:17.048;Abertura
1,1993;1,1996;6,4434000000000005;6,4457;2023-01-03 11:11:16.694;Intermediário
1,2029;1,2033;6,4659;6,4688;2023-01-03 12:07:16.28;Intermediário
1,2007;1,2011;6,4859;6,4888;2023-01-03 13:11:19.075;Intermediário
1,2007;1,2011;6,4541;6,457;2023-01-03 13:11:19.08;Fechamento
1,2048;1,2051;6,5572;6,5596;2023-01-04 10:11:16.796;Abertura
1,2055;1,2059;6,5541;6,557;2023-01-04 11:11:16.379;Intermediário
1,206;1,2064;6,5836;6,5865;2023-01-04 12:03:31.114;Intermediário
1,2044;1,2048;6,5551;6,558;2023-01-04 13:09:19.565;Intermediário
1,2044;1,2048;6,5583;6,5612;2023-01-04 13:09:19.572;Fechamento
1,2001;1,2006000000000001;6,4621;6,4655000000000005;2023-01-05 10:05:16.316;Abertura
1,192;1,1921;6,4548;6,4561;2023-01-05 11:05:16.697;Intermediário
1,1906;1,1909;6,4401;6,4424;2023-01-05 12:05:18.389;Intermediário
1,1879;1,1884000000000001;6,4138;6,4172;2023-01-05 13:03:32.257;Intermediário
1,1879;1,1884000000000001;6,417;6,4204;2023-01-05 13:03:32.262;Fechamento
1,1858;1,1862;6,3267;6,3296;2023-01-06 10:09:17.141;Abertura
1,1924000000000001;1,1928;6,2946;6,2974;2023-01-06 11:11:16.58;Intermediário
1,1922;1,1927;6,2895;6,2928;2023-01-06 12:05:17.045;Intermediário
1,2044;1,2049;6,3225999999999996;6,326;2023-01-06 13:02:28.721;Intermediário
1,2044;1,2049;6,3651;6,3685;2023-01-06 13:02:28.727;Fechamento
1,2138;1,214;6,4092;6,411;2023-01-09 10:03:17.851;Abertura
1,2167;1,2171;6,4541;6,457;2023-01-09 11:05:18.197;Intermediário
1,2186;1,2189;6,4677;6,47;2023-01-09 12:11:16.876;Intermediário
1,2191;1,2195;6,4512;6,4541;2023-01-09 13:07:16.717;Intermediário
1,2191;1,2195;6,4565;6,4593;2023-01-09 13:07:16.725;Fechamento
1,2126000000000001;1,2128;6,3886;6,3904;2023-01-10 10:09:16.469;Abertura
1,2135;1,2139;6,3461;6,3489;2023-01-10 11:08:16.455;Intermediário
1,2155;1,2159;6,3571;6,3599;2023-01-10 12:08:17.84;Intermediário
1,2146;1,215;6,3492;6,352;2023-01-10 13:05:25.672;Intermediário
1,2146;1,215;6,3632;6,366;2023-01-10 13:05:25.681;Fechamento
1,2114;1,2115;6,307;6,3083;2023-01-11 10:10:16.612;Abertura
1,2105000000000001;1,2109;6,2964;6,2992;2023-01-11 11:04:04.728;Intermediário
1,2149;1,215;6,3102;6,3114;2023-01-11 12:07:18.037;Intermediário
1,2124;1,2128;6,3087;6,3115;2023-01-11 13:07:22.488;Intermediário
1,2124;1,2128;6,3062000000000005;6,309;2023-01-11 13:07:22.492;Fechamento
1,2135;1,2138;6,2493;6,2516;2023-01-12 10:08:17.046;Abertura
1,2235;1,2238;6,2647;6,267;2023-01-12 11:03:15.992;Intermediário
1,2113;1,2117;6,2485;6,2513;2023-01-12 12:07:16.925;Intermediário
1,2154;1,2158;6,2339;6,2367;2023-01-12 13:09:27.27;Intermediário
1,2154;1,2158;6,2464;6,2492;2023-01-12 13:09:27.278;Fechamento
1,2174;1,2178;6,261;6,2638;2023-01-13 10:07:17.082;Abertura
1,2168;1,2169;6,2265;6,2277000000000005;2023-01-13 11:03:17.146;Intermediário
