paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
117,097;117,13;0,01804;0,01813;2006-03-06 09:19:00.0;Abertura
117,165;117,205;0,0181;0,01813;2006-03-06 09:30:00.0;Intermediário
117,221;117,311;0,018090000000000002;0,01812;2006-03-06 10:00:00.0;Intermediário
117,44;117,46;0,018060000000000003;0,018080000000000002;2006-03-06 10:30:00.0;Intermediário
117,46;117,48;0,01805;0,018060000000000003;2006-03-06 11:00:00.0;Intermediário
117,43;117,46;0,01802;0,01804;2006-03-06 11:30:00.0;Intermediário
117,38;117,43;0,01803;0,01804;2006-03-06 12:00:00.0;Intermediário
117,44;117,49;0,01803;0,01804;2006-03-06 12:30:00.0;Intermediário
117,52;117,53;0,01803;0,01804;2006-03-06 13:00:00.0;Intermediário
117,42;117,47;0,01804;0,018060000000000003;2006-03-06 13:30:00.0;Intermediário
117,45;117,48;0,01804;0,01805;2006-03-06 14:00:00.0;Intermediário
117,45;117,5;0,01803;0,01805;2006-03-06 14:30:00.0;Intermediário
117,6;117,62;0,018070000000000003;0,018090000000000002;2006-03-06 15:00:00.0;Intermediário
117,57;117,62;0,01811;0,01813;2006-03-06 15:30:00.0;Intermediário
117,6;117,62;0,01818;0,0182;2006-03-06 16:00:00.0;Intermediário
117,57;117,6;0,01819;0,01821;2006-03-06 16:30:00.0;Fechamento Interbancário
117,57;117,6;0,018070000000000003;0,018080000000000002;2006-03-06 17:37:00.0;Fechamento PTAX
