paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
130,72;130,75;0,040810000000000006;0,04082;2023-01-02 10:11:18.511;Abertura
130,64;130,66;0,04098;0,040990000000000006;2023-01-02 11:05:17.032;Intermediário
130,72;130,75;0,04089;0,04091;2023-01-02 12:10:16.594;Intermediário
130,78;130,81;0,04079;0,040810000000000006;2023-01-02 13:05:57.582;Intermediário
130,78;130,81;0,040850000000000004;0,04086;2023-01-02 13:05:57.593;Fechamento
130,97;130,98;0,04086;0,040870000000000004;2023-01-03 10:03:17.048;Abertura
130,64;130,67;0,041120000000000004;0,04113000000000001;2023-01-03 11:11:16.694;Intermediário
130,19;130,2;0,041280000000000004;0,04129;2023-01-03 12:07:16.28;Intermediário
130,73;130,76;0,041310000000000006;0,04132;2023-01-03 13:11:19.075;Intermediário
130,73;130,76;0,04111;0,041120000000000004;2023-01-03 13:11:19.08;Fechamento
130,79;130,82;0,041600000000000005;0,041620000000000004;2023-01-04 10:11:16.796;Abertura
130,7;130,71;0,04159;0,041600000000000005;2023-01-04 11:11:16.379;Intermediário
131,01;131,04;0,04166;0,041670000000000006;2023-01-04 12:03:31.114;Intermediário
132,01;132,02;0,04123;0,04123;2023-01-04 13:09:19.565;Intermediário
132,01;132,02;0,04125;0,04125;2023-01-04 13:09:19.572;Fechamento
132,74;132,77;0,040560000000000006;0,04057;2023-01-05 10:05:16.316;Abertura
133,69;133,7;0,0405;0,040510000000000004;2023-01-05 11:05:16.697;Intermediário
133,74;133,75;0,040440000000000004;0,04045;2023-01-05 12:05:18.389;Intermediário
133,86;133,89;0,040330000000000005;0,04034;2023-01-05 13:03:32.257;Intermediário
133,86;133,89;0,040350000000000004;0,04036;2023-01-05 13:03:32.262;Fechamento
134,64;134,69;0,039610000000000006;0,039630000000000006;2023-01-06 10:09:17.141;Abertura
133,36;133,39;0,03957;0,03959;2023-01-06 11:11:16.58;Intermediário
133,99;134,01;0,03937;0,039380000000000005;2023-01-06 12:05:17.045;Intermediário
132,44;132,45;0,039630000000000006;0,03964;2023-01-06 13:02:28.721;Intermediário
132,44;132,45;0,039900000000000005;0,03991;2023-01-06 13:02:28.727;Fechamento
132,27;132,3;0,03991;0,03993;2023-01-09 10:03:17.851;Abertura
131,76;131,81;0,040240000000000005;0,040260000000000004;2023-01-09 11:05:18.197;Intermediário
131,87;131,88;0,040240000000000005;0,04025;2023-01-09 12:11:16.876;Intermediário
131,92;131,95;0,040100000000000004;0,04012;2023-01-09 13:07:16.717;Intermediário
131,92;131,95;0,04014;0,040150000000000005;2023-01-09 13:07:16.725;Fechamento
132,38;132,39;0,0398;0,0398;2023-01-10 10:09:16.469;Abertura
132,27;132,3;0,03953;0,039540000000000006;2023-01-10 11:08:16.455;Intermediário
132,01;132,02;0,03962;0,03962;2023-01-10 12:08:17.84;Intermediário
132,17;132,18;0,03955;0,039560000000000005;2023-01-10 13:05:25.672;Intermediário
132,17;132,18;0,039630000000000006;0,03964;2023-01-10 13:05:25.681;Fechamento
132,76;132,77;0,03921;0,039220000000000005;2023-01-11 10:10:16.612;Abertura
132,68;132,71;0,03919;0,03921;2023-01-11 11:04:04.728;Intermediário
132,51;132,54;0,03919;0,0392;2023-01-11 12:07:18.037;Intermediário
132,59;132,6;0,039240000000000004;0,03925;2023-01-11 13:07:22.488;Intermediário
132,59;132,6;0,03923;0,03923;2023-01-11 13:07:22.492;Fechamento
130,66;130,69;0,039400000000000004;0,039420000000000004;2023-01-12 10:08:17.046;Abertura
129,64;129,66;0,039490000000000004;0,0395;2023-01-12 11:03:15.992;Intermediário
130,61;130,62;0,039490000000000004;0,0395;2023-01-12 12:07:16.925;Intermediário
129,82;129,85;0,0395;0,03951;2023-01-12 13:09:27.27;Intermediário
129,82;129,85;0,039580000000000004;0,03959;2023-01-12 13:09:27.278;Fechamento
128,53;128,54;0,040010000000000004;0,04002;2023-01-13 10:07:17.082;Abertura
128,22;128,25;0,039900000000000005;0,03991;2023-01-13 11:03:17.146;Intermediário
127,77;127,79;0,03991;0,039920000000000004;2023-01-13 12:04:17.618;Intermediário
127,51;127,52;0,03996;0,039970000000000006;2023-01-13 13:10:23.133;Intermediário
127,51;127,52;0,040100000000000004;0,04011;2023-01-13 13:10:23.139;Fechamento
128,43;128,46;0,03971;0,039720000000000005;2023-01-16 10:06:18.73;Abertura
128,43;128,44;0,03978;0,039790000000000006;2023-01-16 11:11:17.162;Intermediário
128,48;128,53;0,039850000000000003;0,03987;2023-01-16 12:09:16.393;Intermediário
128,52;128,55;0,039760000000000004;0,03978;2023-01-16 13:07:23.214;Intermediário
128,52;128,55;0,039760000000000004;0,03977;2023-01-16 13:07:23.23;Fechamento
128,56;128,57;0,03989;0,039900000000000005;2023-01-17 10:03:18.446;Abertura
128,67;128,68;0,039790000000000006;0,0398;2023-01-17 11:03:17.027;Intermediário
128,28;128,29;0,03994;0,039950000000000006;2023-01-17 12:03:16.899;Intermediário
128,17;128,18;0,039830000000000004;0,03984;2023-01-17 13:09:23.084;Intermediário
128,17;128,18;0,03994;0,039950000000000006;2023-01-17 13:09:23.089;Fechamento
129,05;129,08;0,039470000000000005;0,03948;2023-01-18 10:08:17.282;Abertura
128,11;128,14;0,03962;0,03964;2023-01-18 11:11:36.791;Intermediário
128,11;128,14;0,0397;0,039720000000000005;2023-01-18 12:11:17.938;Intermediário
128,37;128,42;0,039720000000000005;0,039740000000000004;2023-01-18 13:11:36.517;Intermediário
128,37;128,42;0,03964;0,03966;2023-01-18 13:11:36.521;Fechamento
128,62;128,63;0,040560000000000006;0,04057;2023-01-19 10:11:21.949;Abertura
128,38;128,39;0,04052;0,040530000000000004;2023-01-19 11:08:16.423;Intermediário
128,34;128,35;0,040630000000000006;0,040630000000000006;2023-01-19 12:05:16.758;Intermediário
128,46;128,47;0,04064;0,04064;2023-01-19 13:07:18.674;Intermediário
128,46;128,47;0,040580000000000005;0,04059;2023-01-19 13:07:18.678;Fechamento
