paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1,0;1,0;2,113;2,123;2006-03-06 09:19:00.0;Abertura
1,0;1,0;2,121;2,124;2006-03-06 09:30:00.0;Intermediário
1,0;1,0;2,122;2,124;2006-03-06 10:00:00.0;Intermediário
1,0;1,0;2,121;2,123;2006-03-06 10:30:00.0;Intermediário
1,0;1,0;2,12;2,121;2006-03-06 11:00:00.0;Intermediário
1,0;1,0;2,116;2,118;2006-03-06 11:30:00.0;Intermediário
1,0;1,0;2,117;2,118;2006-03-06 12:00:00.0;Intermediário
1,0;1,0;2,118;2,119;2006-03-06 12:30:00.0;Intermediário
1,0;1,0;2,119;2,12;2006-03-06 13:00:00.0;Intermediário
1,0;1,0;2,119;2,12;2006-03-06 13:30:00.0;Intermediário
1,0;1,0;2,119;2,12;2006-03-06 14:00:00.0;Intermediário
1,0;1,0;2,119;2,12;2006-03-06 14:30:00.0;Intermediário
1,0;1,0;2,125;2,127;2006-03-06 15:00:00.0;Intermediário
1,0;1,0;2,13;2,132;2006-03-06 15:30:00.0;Intermediário
1,0;1,0;2,138;2,14;2006-03-06 16:00:00.0;Intermediário
1,0;1,0;2,1390000000000002;2,141;2006-03-06 16:30:00.0;Fechamento Interbancário
1,0;1,0;2,1253;2,1261;2006-03-06 17:37:00.0;Fechamento PTAX
